Location,Year,Employment
Alexandria,2000,79471
Alexandria,2001,79808
Alexandria,2002,80273
Alexandria,2003,80171
Alexandria,2004,81500
Alexandria,2005,82171
Alexandria,2006,84287
Alexandria,2007,87412
Alexandria,2008,90479
Alexandria,2009,90148
Alexandria,2010,85521
Alexandria,2011,88165
Alexandria,2012,89314
Alexandria,2013,90036
Alexandria,2014,90640
Alexandria,2015,91484
Alexandria,2016,93574
Alexandria,2017,97160
Alexandria,2018,97849
Alexandria,2019,99024
Alexandria,2020,92233
Alexandria,2021,94612
Alexandria,2022,98341
Alexandria,2023,101225
Alexandria,2024,101024